 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";47;329;761;932;1012;709;366;315;483;891;898;1232;7975
"12 Acre";2;27;224;296;262;175;200;153;227;206;428;457;2657
"13 Amazonas";202;1845;3028;1929;1192;1305;1287;1574;1318;2760;3851;4137;24428
"14 Roraima";2;252;497;283;158;114;89;123;181;300;635;600;3234
"15 Pará";110;2159;4774;3375;3768;1994;1143;870;1079;1802;1986;2750;25810
"16 Amapá";17;241;374;517;341;176;155;188;409;329;277;565;3589
"17 Tocantins";6;79;200;469;684;626;448;71;85;54;83;283;3088
"21 Maranhão";98;2623;4322;3535;2744;1751;1727;1289;1022;1454;1659;3705;25929
"22 Piauí";29;298;865;1801;2313;1506;1284;1023;1037;1247;912;1665;13980
"23 Ceará";257;2377;5081;4092;4002;2489;1960;1667;1405;1513;2151;5341;32335
"24 Rio Grande do Norte";29;309;970;1213;1070;910;715;599;685;911;847;1145;9403
"25 Paraíba";37;232;824;1633;940;768;671;448;664;877;834;1790;9718
"26 Pernambuco";415;3490;4785;5704;4266;3059;1469;3602;3411;4118;3791;5523;43633
"27 Alagoas";1;111;680;1033;1527;728;545;372;358;587;709;1419;8070
"28 Sergipe";-;56;227;605;856;943;618;407;392;495;676;959;6234
"29 Bahia";119;829;2067;3202;3302;2886;2062;1985;2920;2744;3518;5244;30878
"31 Minas Gerais";97;578;1896;5091;6249;5878;5036;4124;5938;7768;8097;13604;64356
"32 Espírito Santo";28;661;1314;2143;1678;1537;1211;1040;1373;1686;1597;2062;16330
"33 Rio de Janeiro";850;4538;5470;5606;4545;3868;3479;4871;6349;6306;4885;6987;57754
"35 São Paulo";1405;9959;14963;22926;17841;13470;11389;9037;11529;15995;16125;27467;172106
"41 Paraná";139;389;1108;2664;3719;3562;3232;3119;4747;5016;5557;9236;42488
"42 Santa Catarina";62;335;562;1798;2720;2384;1625;1939;3139;2761;3253;5806;26384
"43 Rio Grande do Sul";120;788;1230;2879;3905;3897;3890;3642;4798;5271;5282;11704;47406
"50 Mato Grosso do Sul";4;18;96;261;680;998;1092;675;790;1009;1028;1533;8184
"51 Mato Grosso";7;58;482;1583;2147;1879;1599;1038;925;1386;1412;2110;14626
"52 Goiás";7;104;832;2092;3278;3040;2897;2135;2074;2252;2698;3775;25184
"53 Distrito Federal";45;390;1095;1721;2124;1144;1285;764;803;981;1004;2247;13603
"Total";4135;33075;58727;79383;77323;61796;51474;47070;58141;70719;74193;123346;739382
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
