CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Unidade da Federação e Ano/mês compet.
Período:Abr/2020-Abr/2021
"Unidade da Federação";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr"
"11 Rondônia";4345;4354;4431;4512;4537;4547;4566;4569;4586;4537;4533;4594;4637
"12 Acre";1506;1559;1559;1602;1693;1677;1618;1613;1613;1623;1694;1710;1717
"13 Amazonas";5970;6074;5972;5932;5884;5884;5884;5755;5897;5837;5922;6048;5992
"14 Roraima";1339;1515;1527;1527;1501;1490;1490;1490;1370;1553;1560;1510;1465
"15 Pará";14623;14614;14888;15102;15368;15321;15374;15283;15267;15371;15315;15298;15244
"16 Amapá";1181;1316;1266;1349;1274;1254;1182;1240;1226;1214;1240;1340;1411
"17 Tocantins";3092;3026;3016;2987;3022;3021;2940;2938;2998;2998;2998;3003;3008
"21 Maranhão";14098;14481;14818;14861;14892;14814;14767;14875;14889;14967;15004;15242;15290
"22 Piauí";7773;7995;8034;8040;7791;8032;8088;8036;8059;8025;8052;8056;8053
"23 Ceará";19042;19375;19207;19443;19583;19659;19771;19595;19580;19384;19396;19546;19792
"24 Rio Grande do Norte";7580;7685;7650;7815;7682;7668;7751;7779;7861;7987;7951;7977;7913
"25 Paraíba";8317;8317;8434;8525;8573;8577;8637;8657;8726;8882;8985;9005;9003
"26 Pernambuco";23093;23449;23433;23388;23323;23165;22991;22874;22917;22942;22933;22919;22810
"27 Alagoas";6040;6417;6592;6635;6654;6729;6716;6731;6531;6507;6545;6391;6401
"28 Sergipe";3438;3535;3587;3577;3558;3550;3481;3306;3293;3281;3208;3259;3285
"29 Bahia";29690;29807;29835;29999;30036;29864;29823;29785;29845;29858;29942;30090;30246
"31 Minas Gerais";42098;42304;43374;43351;43358;43435;42666;42586;42536;42609;42729;42926;42886
"32 Espírito Santo";8086;8089;8104;8183;8251;8139;8049;7975;7862;7853;7806;7892;8117
"33 Rio de Janeiro";34487;35351;35979;36428;35758;36189;36302;36286;36698;36323;35798;36048;35426
"35 São Paulo";94586;95370;95175;95071;95016;94611;94349;93756;93809;93418;93940;94336;94884
"41 Paraná";28127;28210;28227;28065;27987;27995;27879;27816;27774;27709;27724;28119;28182
"42 Santa Catarina";15302;15312;15117;15342;15326;15389;15309;15374;15374;15330;15429;15616;15489
"43 Rio Grande do Sul";30638;30439;30450;30385;30340;30319;30195;30064;30049;30085;29868;29675;29638
"50 Mato Grosso do Sul";5715;5711;5719;5766;5814;5815;5812;5783;5789;5789;5787;5770;5774
"51 Mato Grosso";7058;7308;7304;7337;7226;7324;7241;7220;7211;7239;7261;7312;7340
"52 Goiás";17747;17784;17880;18022;18177;18152;18164;17965;18305;18290;18386;18526;18409
"53 Distrito Federal";6840;7106;7345;7355;7317;7364;7528;7609;7739;7748;7504;7512;7592
"Total";441811;446503;448923;450599;449941;449984;448573;446960;447804;447359;447510;449720;450004
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
